id,submission_time,vote_number,question_id,message,image
0,1493398154,4,1,You need to use brackets: my_list = [],
1,2010-01-02,5,0,Google it,
2,2020-03-17 13:33:01,2,2,first answer,
3,2020-03-17 13:33:06,1,2,second answer,
4,2020-03-17 13:33:14,0,1,answer here,
5,2020-03-17 13:34:12,0,3,yes,
6,2020-03-17 17:31:31,0,4,2020,
7,2020-03-18 11:20:38,0,4,sadad,
8,2020-03-18 11:20:41,0,4,sadad,
9,2020-03-18 11:22:00,0,4,dsad,
10,2020-03-18 14:32:13,0,4,dasdadksdasdkas[dkp[sap[dsadasdasdasd,
11,2020-03-18 15:40:18,0,2,third answer,
